State,Year,Population,Violent Crime Rate,Murder Rate,Forcible Rape Rate,Robbery Rate,Aggraveted Assault Rate,Property Crime Rate,Burglary Rate,Larceny & Theft Rate,Motor Vehicle Theft Rate
Alaska,1960,226167,104.3000031,10.19999981,20.79999924,28.29999924,45.09999847,1544.900024,332.1000061,970.5,242.3000031
Alaska,1961,234000,88.90000153,11.5,13.19999981,12.39999962,51.70000076,1540.599976,380.7999878,950,209.8000031
Alaska,1962,246000,91.5,4.5,18.70000076,13.80000019,54.5,1564.599976,351.6000061,985.4000244,227.6000061
Alaska,1963,248000,109.6999969,6.5,14.89999962,22.20000076,66.09999847,1952.800049,381.5,1213.699951,357.7000122
Alaska,1964,250000,150,10.39999962,22.39999962,21.20000076,96,2016,443.6000061,1218.400024,354
Alaska,1965,253000,149,6.300000191,17.79999924,39.90000153,85,2454.5,554.5,1492.900024,407.1000061
Alaska,1966,272000,150.3999939,12.89999962,19.5,36,82,2635.300049,593,1600.699951,441.5
Alaska,1967,272000,160.6999969,9.600000381,17.60000038,35.29999924,98.19999695,2723.899902,688.5999756,1630.900024,404.3999939
Alaska,1968,277000,175.5,10.5,21.70000076,52.70000076,90.59999847,3145.5,747.2999878,1915.900024,482.2999878
Alaska,1969,282000,221.3000031,10.60000038,29.39999962,67.40000153,113.8000031,3658.899902,870.5999756,2196.800049,591.5
Alaska,1970,302173,278,12.19999981,26.10000038,71.80000305,167.8000031,3523.800049,789.9000244,2182.5,551.2999878
Alaska,1971,313000,355.2999878,13.39999962,43.5,67.09999847,231.3000031,3809.300049,848.5999756,2438,522.7000122
Alaska,1972,325000,370.5,9.5,41.79999924,66.5,252.6000061,4108,970.7999878,2639.100098,498.2000122
Alaska,1973,330000,384.5,10,44.5,67,263,4558.799805,1167.300049,2865.5,526.0999756
Alaska,1974,337000,453.1000061,13.60000038,49.29999924,88.40000153,301.7999878,4786.600098,1166.800049,2972.100098,647.7999878
Alaska,1975,352000,539.7999878,12.19999981,44.59999847,129.5,353.3999939,5656.799805,1214.5,3522.399902,919.9000244
Alaska,1976,382000,540.0999756,11.30000019,46.90000153,124.9000015,357.1000061,5680.600098,1218.099976,3656.800049,805.7999878
Alaska,1977,407000,443.2000122,10.80000019,51.59999847,96.80000305,284,5454.799805,1331.699951,3369.800049,753.2999878
Alaska,1978,403000,441.8999939,12.89999962,55.59999847,91.30000305,282.1000061,5604.200195,1339.199951,3603.5,661.5
Alaska,1979,406000,491.1000061,13.30000019,71.90000153,109.5999985,296.2999878,5712.600098,1383.300049,3713.300049,616
Alaska,1980,440142,436,8.899999619,56.79999924,81.80000305,288.5,5209.700195,1259.800049,3388.899902,561
Alaska,1981,412000,615.7999878,14.60000038,102.1999969,114.5999985,384.5,5979.100098,1329.900024,3958.699951,690.5
Alaska,1982,438000,623.7000122,18.5,85.40000153,133.8000031,386.1000061,5588.799805,1188.099976,3806.399902,594.2999878
Alaska,1983,479000,613.7999878,13.80000019,101.5,97.09999847,401.5,5404.799805,1194.199951,3566.800049,643.7999878
Alaska,1984,500000,621.5999756,11.60000038,91.59999847,109.4000015,409,5493.600098,1236.800049,3628,628.7999878
Alaska,1985,521000,581.7999878,9.800000191,77.19999695,92.90000153,401.8999939,5295.200195,1191.699951,3497.100098,606.2999878
Alaska,1986,534000,570.4000244,8.600000381,72.69999695,88,401.1000061,5675.5,1161.800049,3909.899902,603.7000122
Alaska,1987,525000,455.3999939,10.10000038,65,73.09999847,307.2000122,4922.100098,970.0999756,3465.699951,486.2999878
Alaska,1988,513000,522.7999878,5.699999809,57.70000076,72.90000153,386.5,4398.799805,842.2999878,3101.600098,455
Alaska,1989,527000,497.7000122,8,52.90000153,67.59999847,369.2999878,4282.200195,826.9000244,3000.199951,455
Alaska,1990,550043,524.5,7.5,72.90000153,76.69999695,367.3999939,4628.200195,894.2999878,3168.5,565.4000244
Alaska,1991,570000,613.9000244,7.400000095,91.80000305,113.1999969,401.6000061,5087.700195,979.2999878,3574.600098,533.9000244
Alaska,1992,587000,660.5,7.5,98.59999847,109,445.2999878,4909,880.7000122,3531.199951,497.1000061
Alaska,1993,599000,760.7999878,9,83.80000305,122.4000015,545.5999756,4807.200195,816.9000244,3539.399902,450.8999939
Alaska,1994,606000,766.2999878,6.300000191,69,146.1999969,544.9000244,4941.700195,800,3601.300049,540.4000244
Alaska,1995,604000,770.9000244,9.100000381,80.30000305,155.1000061,526.2999878,4982.899902,836.9000244,3624.300049,521.7000122
Alaska,1996,607000,727.7000122,7.400000095,65.59999847,117,537.7000122,4722.700195,843.2000122,3386.699951,492.8999939
Alaska,1997,609000,701.0999756,8.899999619,66.19999695,106.4000015,519.7000122,4571.399902,702.0999756,3412.199951,457.1000061
Alaska,1998,614000,653.9000244,6.699999809,68.59999847,86.59999847,492,4123.100098,667.4000244,3031.100098,424.6000061
Alaska,1999,619000,630.7999878,8.399999619,83.5,91.40000153,447.6000061,3728.699951,611.2999878,2688.300049,429.1000061
